Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,80500.000000,80600.000000,80000.000000,80100.000000,79721.023438,13382882
2021-07-02,80000.000000,80400.000000,79900.000000,80000.000000,79621.500000,8753097
2021-07-05,80100.000000,80800.000000,80000.000000,80400.000000,80019.601563,8330969
2021-07-06,80600.000000,81200.000000,80500.000000,81200.000000,80815.820313,12131651
2021-07-07,81200.000000,81300.000000,80300.000000,80800.000000,80417.710938,15992202
2021-07-08,81100.000000,81200.000000,79900.000000,79900.000000,79521.968750,16660998
2021-07-09,79600.000000,79800.000000,79000.000000,79400.000000,79024.335938,22720577
2021-07-12,79900.000000,80000.000000,79500.000000,79700.000000,79322.914063,9768108
2021-07-13,80000.000000,80200.000000,79800.000000,79800.000000,79422.445313,9863450
2021-07-14,79400.000000,79600.000000,79100.000000,79500.000000,79123.859375,11575636
2021-07-15,79800.000000,80600.000000,79500.000000,80600.000000,80218.656250,13766279
2021-07-16,80100.000000,80100.000000,79500.000000,79800.000000,79422.445313,10859399
2021-07-19,79100.000000,79200.000000,78800.000000,79000.000000,78626.226563,13155414
2021-07-20,78500.000000,79000.000000,78400.000000,79000.000000,78626.226563,12456646
2021-07-21,79000.000000,79100.000000,78500.000000,78500.000000,78128.593750,12355296
2021-07-22,79000.000000,79800.000000,78900.000000,79700.000000,79322.914063,12618790
2021-07-23,79700.000000,79900.000000,79200.000000,79300.000000,78924.804688,9098910
2021-07-26,79400.000000,79500.000000,78800.000000,78800.000000,78427.171875,10040975
2021-07-27,79200.000000,79400.000000,78500.000000,78500.000000,78128.593750,11427693
2021-07-28,78300.000000,79200.000000,78100.000000,79200.000000,78825.281250,12743417
2021-07-29,78800.000000,79400.000000,78800.000000,79000.000000,78626.226563,14360453
2021-07-30,78900.000000,78900.000000,78500.000000,78500.000000,78128.593750,13823411
2021-08-02,79200.000000,79500.000000,78700.000000,79300.000000,78924.804688,11739124
2021-08-03,79400.000000,81400.000000,79300.000000,81400.000000,81014.875000,24339360
2021-08-04,82200.000000,83100.000000,81800.000000,82900.000000,82507.773438,25642368
2021-08-05,83300.000000,83300.000000,82000.000000,82100.000000,81711.562500,18485469
2021-08-06,81900.000000,82500.000000,81300.000000,81500.000000,81114.398438,13342623
2021-08-09,81500.000000,82300.000000,80900.000000,81500.000000,81114.398438,15522581
2021-08-10,82300.000000,82400.000000,80100.000000,80200.000000,79820.546875,20362639
2021-08-11,79600.000000,79800.000000,78500.000000,78500.000000,78128.593750,30241137
2021-08-12,77100.000000,78200.000000,76900.000000,77000.000000,76635.687500,42365223
2021-08-13,75800.000000,76000.000000,74100.000000,74400.000000,74047.992188,61270643
2021-08-17,74000.000000,75100.000000,74000.000000,74200.000000,73848.937500,30944847
2021-08-18,73900.000000,74600.000000,73100.000000,73900.000000,73550.359375,29192631
2021-08-19,73500.000000,74400.000000,73100.000000,73100.000000,72754.140625,22166298
2021-08-20,73500.000000,73900.000000,72500.000000,72700.000000,72356.031250,22364803
2021-08-23,73300.000000,74000.000000,73000.000000,73300.000000,72953.195313,19384648
2021-08-24,73900.000000,75700.000000,73900.000000,75600.000000,75242.312500,21016913
2021-08-25,76200.000000,76600.000000,74900.000000,75700.000000,75341.843750,22319664
2021-08-26,76100.000000,76200.000000,74600.000000,74600.000000,74247.046875,16671494
2021-08-27,74300.000000,75000.000000,73800.000000,74300.000000,73948.460938,15172748
2021-08-30,75400.000000,75500.000000,74200.000000,74600.000000,74247.046875,12686999
2021-08-31,74900.000000,76700.000000,74300.000000,76700.000000,76337.109375,24630370
2021-09-01,76700.000000,77100.000000,75900.000000,76800.000000,76436.632813,16114775
2021-09-02,76800.000000,76800.000000,75700.000000,76000.000000,75640.421875,15347486
2021-09-03,76400.000000,76700.000000,76000.000000,76600.000000,76237.585938,12096419
2021-09-06,76800.000000,77600.000000,76600.000000,77300.000000,76934.273438,12861180
2021-09-07,77100.000000,77100.000000,75900.000000,76100.000000,75739.945313,13239401
2021-09-08,76000.000000,76400.000000,75600.000000,76300.000000,75939.000000,11798147
2021-09-09,76400.000000,76600.000000,75000.000000,75300.000000,74943.734375,17600770
2021-09-10,75300.000000,75600.000000,74800.000000,75300.000000,74943.734375,10103212
2021-09-13,75200.000000,76300.000000,75100.000000,76300.000000,75939.000000,11397775
2021-09-14,77100.000000,77700.000000,76600.000000,76600.000000,76237.585938,18167057
2021-09-15,77400.000000,77400.000000,76400.000000,77000.000000,76635.687500,12829128
2021-09-16,77300.000000,77400.000000,76100.000000,76100.000000,75739.945313,13067622
2021-09-17,76300.000000,77200.000000,75900.000000,77200.000000,76834.742188,16289502
2021-09-23,77500.000000,77600.000000,76800.000000,77400.000000,77033.796875,17055590
2021-09-24,77600.000000,77700.000000,77100.000000,77300.000000,76934.273438,12247274
2021-09-27,77300.000000,77700.000000,77000.000000,77700.000000,77332.375000,11699798
2021-09-28,77700.000000,77800.000000,76200.000000,76300.000000,75939.000000,15406382
2021-09-29,74800.000000,75300.000000,73800.000000,74100.000000,74100.000000,23992458
2021-09-30,74300.000000,74800.000000,73700.000000,74100.000000,74100.000000,19919361
